HE InChI=1S/He
NEC7H16 InChI=1S/C7H16/c1-5-6-7(2,3)4/h5-6H2,1-4H3
NEC7-1R InChI=1S/C7H15/c1-5-6-7(2,3)4/h2,5-6H2,1,3-4H3
NEC7-1O2 InChI=1S/C7H15O2/c1-4-5-7(2,3)6-9-8/h4-6H2,1-3H3
NEC7-3O2 InChI=1S/C7H15O2/c1-5-6(9-8)7(2,3)4/h6H,5H2,1-4H3
NEC7-4O2 InChI=1S/C7H15O2/c1-6(9-8)5-7(2,3)4/h6H,5H2,1-4H3
NEC7-5O2 InChI=1S/C7H15O2/c1-7(2,3)5-4-6-9-8/h4-6H2,1-3H3
NEC7OOH1-1A InChI=1S/C7H15O2/c1-4-5-7(2,3)6-9-8/h8H,2,4-6H2,1,3H3
NEC7OOH1-1AO2 InChI=1S/C7H15O4/c1-3-4-7(2,5-10-8)6-11-9/h8H,3-6H2,1-2H3
NEC7OOH1-3 InChI=1S/C7H15O2/c1-4-5-7(2,3)6-9-8/h5,8H,4,6H2,1-3H3
NEC7OOH1-3O2 InChI=1S/C7H15O4/c1-4-6(11-9)7(2,3)5-10-8/h6,8H,4-5H2,1-3H3
NEC7OOH1-4 InChI=1S/C7H15O2/c1-4-5-7(2,3)6-9-8/h4,8H,5-6H2,1-3H3
NEC7OOH1-4O2 InChI=1S/C7H15O4/c1-6(11-9)4-7(2,3)5-10-8/h6,8H,4-5H2,1-3H3
NEC7OOH1-5 InChI=1S/C7H15O2/c1-4-5-7(2,3)6-9-8/h8H,1,4-6H2,2-3H3
NEC7OOH1-5O2 InChI=1S/C7H15O4/c1-7(2,6-11-9)4-3-5-10-8/h9H,3-6H2,1-2H3
NEC7OOH3-1 InChI=1S/C7H15O2/c1-5-6(9-8)7(2,3)4/h6,8H,2,5H2,1,3-4H3
NEC7OOH3-1O2 InChI=1S/C7H15O4/c1-4-6(11-9)7(2,3)5-10-8/h6,9H,4-5H2,1-3H3
NEC7OOH3-4 InChI=1S/C7H15O2/c1-5-6(9-8)7(2,3)4/h5-6,8H,1-4H3
NEC7OOH3-4O2 InChI=1S/C7H15O4/c1-5(10-8)6(11-9)7(2,3)4/h5-6,9H,1-4H3
NEC7OOH3-5 InChI=1S/C7H15O2/c1-5-6(9-8)7(2,3)4/h6,8H,1,5H2,2-4H3
NEC7OOH3-5O2 InChI=1S/C7H15O4/c1-7(2,3)6(11-9)4-5-10-8/h6,9H,4-5H2,1-3H3
NEC7OOH4-1 InChI=1S/C7H15O2/c1-6(9-8)5-7(2,3)4/h6,8H,2,5H2,1,3-4H3
NEC7OOH4-1O2 InChI=1S/C7H15O4/c1-6(11-9)4-7(2,3)5-10-8/h6,9H,4-5H2,1-3H3
NEC7OOH4-3 InChI=1S/C7H15O2/c1-6(9-8)5-7(2,3)4/h5-6,8H,1-4H3
NEC7OOH4-3O2 InChI=1S/C7H15O4/c1-5(10-8)6(11-9)7(2,3)4/h5-6,8H,1-4H3
NEC7OOH4-5 InChI=1S/C7H15O2/c1-6(9-8)5-7(2,3)4/h6,8H,1,5H2,2-4H3
NEC7OOH4-5O2 InChI=1S/C7H15O4/c1-7(2,3)4-6(11-9)5-10-8/h6,9H,4-5H2,1-3H3
NEC7OOH5-1 InChI=1S/C7H15O2/c1-7(2,3)5-4-6-9-8/h8H,1,4-6H2,2-3H3
NEC7OOH5-1O2 InChI=1S/C7H15O4/c1-7(2,6-11-9)4-3-5-10-8/h8H,3-6H2,1-2H3
NEC7OOH5-3 InChI=1S/C7H15O2/c1-7(2,3)5-4-6-9-8/h5,8H,4,6H2,1-3H3
NEC7OOH5-3O2 InChI=1S/C7H15O4/c1-7(2,3)6(11-9)4-5-10-8/h6,8H,4-5H2,1-3H3
NEC7OOH5-4 InChI=1S/C7H15O2/c1-7(2,3)5-4-6-9-8/h4,8H,5-6H2,1-3H3
NEC7OOH5-4O2 InChI=1S/C7H15O4/c1-7(2,3)4-6(11-9)5-10-8/h6,8H,4-5H2,1-3H3
NEC7Q11-1A InChI=1S/C7H15O4/c1-3-4-7(2,5-10-8)6-11-9/h8-9H,2-6H2,1H3
NEC7Q11-3 InChI=1S/C7H15O4/c1-3-4-7(2,5-10-8)6-11-9/h4,8-9H,3,5-6H2,1-2H3
NEC7Q11-4 InChI=1S/C7H15O4/c1-3-4-7(2,5-10-8)6-11-9/h3,8-9H,4-6H2,1-2H3
NEC7Q11-5 InChI=1S/C7H15O4/c1-3-4-7(2,5-10-8)6-11-9/h8-9H,1,3-6H2,2H3
NEC7Q13-4 InChI=1S/C7H15O4/c1-4-6(11-9)7(2,3)5-10-8/h4,6,8-9H,5H2,1-3H3
NEC7Q13-1 InChI=1S/C7H15O4/c1-4-6(11-9)7(2,3)5-10-8/h6,8-9H,2,4-5H2,1,3H3
NEC7Q13-5 InChI=1S/C7H15O4/c1-4-6(11-9)7(2,3)5-10-8/h6,8-9H,1,4-5H2,2-3H3
NEC7Q14-3 InChI=1S/C7H15O4/c1-6(11-9)4-7(2,3)5-10-8/h4,6,8-9H,5H2,1-3H3
NEC7Q14-5 InChI=1S/C7H15O4/c1-6(11-9)4-7(2,3)5-10-8/h6,8-9H,1,4-5H2,2-3H3
NEC7Q14-1 InChI=1S/C7H15O4/c1-6(11-9)4-7(2,3)5-10-8/h6,8-9H,2,4-5H2,1,3H3
NEC7Q15-4 InChI=1S/C7H15O4/c1-7(2,6-11-9)4-3-5-10-8/h3,8-9H,4-6H2,1-2H3
NEC7Q15-3 InChI=1S/C7H15O4/c1-7(2,6-11-9)4-3-5-10-8/h4,8-9H,3,5-6H2,1-2H3
NEC7Q15-1 InChI=1S/C7H15O4/c1-7(2,6-11-9)4-3-5-10-8/h8-9H,1,3-6H2,2H3
NEC7Q34-5 InChI=1S/C7H15O4/c1-5(10-8)6(11-9)7(2,3)4/h5-6,8-9H,1H2,2-4H3
NEC7Q34-1 InChI=1S/C7H15O4/c1-5(10-8)6(11-9)7(2,3)4/h5-6,8-9H,2H2,1,3-4H3
NEC7Q35-4 InChI=1S/C7H15O4/c1-7(2,3)6(11-9)4-5-10-8/h4,6,8-9H,5H2,1-3H3
NEC7Q35-1 InChI=1S/C7H15O4/c1-7(2,3)6(11-9)4-5-10-8/h6,8-9H,1,4-5H2,2-3H3
NEC7Q45-3 InChI=1S/C7H15O4/c1-7(2,3)4-6(11-9)5-10-8/h4,6,8-9H,5H2,1-3H3
NEC7Q45-1 InChI=1S/C7H15O4/c1-7(2,3)4-6(11-9)5-10-8/h6,8-9H,1,4-5H2,2-3H3
NEC7O1-1 InChI=1S/C7H14O/c1-3-4-7(2)5-8-6-7/h3-6H2,1-2H3
NEC7O1-3 InChI=1S/C7H14O/c1-4-6-7(2,3)5-8-6/h6H,4-5H2,1-3H3
NEC7O1-4 InChI=1S/C7H14O/c1-6-4-7(2,3)5-8-6/h6H,4-5H2,1-3H3
NEC7O1-5 InChI=1S/C7H14O/c1-7(2)4-3-5-8-6-7/h3-6H2,1-2H3
NEC7O3-4 InChI=1S/C7H14O/c1-5-6(8-5)7(2,3)4/h5-6H,1-4H3
NEC7O3-5 InChI=1S/C7H14O/c1-7(2,3)6-4-5-8-6/h6H,4-5H2,1-3H3
NEC7O4-5 InChI=1S/C7H14O/c1-7(2,3)4-6-5-8-6/h6H,4-5H2,1-3H3
NEC7O11-1OOH InChI=1S/C7H14O3/c1-2-3-7(6-10-8)4-9-5-7/h8H,2-6H2,1H3
NEC7O13-1OOH InChI=1S/C7H14O3/c1-3-6-7(2,4-9-6)5-10-8/h6,8H,3-5H2,1-2H3
NEC7O14-1OOH InChI=1S/C7H14O3/c1-6-3-7(2,4-9-6)5-10-8/h6,8H,3-5H2,1-2H3
NEC7O15-1OOH InChI=1S/C7H14O3/c1-7(6-10-8)3-2-4-9-5-7/h8H,2-6H2,1H3
NEC7O34-1OOH InChI=1S/C7H14O3/c1-5-6(10-5)7(2,3)4-9-8/h5-6,8H,4H2,1-3H3
NEC7O35-1OOH InChI=1S/C7H14O3/c1-7(2,5-10-8)6-3-4-9-6/h6,8H,3-5H2,1-2H3
NEC7O45-1OOH InChI=1S/C7H14O3/c1-7(2,5-10-8)3-6-4-9-6/h6,8H,3-5H2,1-2H3
NEC7O11-3OOH InChI=1S/C7H14O3/c1-3-6(10-8)7(2)4-9-5-7/h6,8H,3-5H2,1-2H3
NEC7O14-3OOH InChI=1S/C7H14O3/c1-5-6(10-8)7(2,3)4-9-5/h5-6,8H,4H2,1-3H3
NEC7O15-3OOH InChI=1S/C7H14O3/c1-7(2)5-9-4-3-6(7)10-8/h6,8H,3-5H2,1-2H3
NEC7O45-3OOH InChI=1S/C7H14O3/c1-7(2,3)6(10-8)5-4-9-5/h5-6,8H,4H2,1-3H3
NEC7O11-4OOH InChI=1S/C7H14O3/c1-6(10-8)3-7(2)4-9-5-7/h6,8H,3-5H2,1-2H3
NEC7O13-4OOH InChI=1S/C7H14O3/c1-5(10-8)6-7(2,3)4-9-6/h5-6,8H,4H2,1-3H3
NEC7O15-4OOH InChI=1S/C7H14O3/c1-7(2)3-6(10-8)4-9-5-7/h6,8H,3-5H2,1-2H3
NEC7O35-4OOH InChI=1S/C7H14O3/c1-7(2,3)6-5(10-8)4-9-6/h5-6,8H,4H2,1-3H3
NEC7O11-5OOH InChI=1S/C7H14O3/c1-7(5-9-6-7)3-2-4-10-8/h8H,2-6H2,1H3
NEC7O13-5OOH InChI=1S/C7H14O3/c1-7(2)5-9-6(7)3-4-10-8/h6,8H,3-5H2,1-2H3
NEC7O14-5OOH InChI=1S/C7H14O3/c1-7(2)3-6(4-10-8)9-5-7/h6,8H,3-5H2,1-2H3
NEC7O34-5OOH InChI=1S/C7H14O3/c1-7(2,3)6-5(10-6)4-9-8/h5-6,8H,4H2,1-3H3
NEC7D3-5OOH InChI=1S/C7H14O2/c1-7(2,3)5-4-6-9-8/h4-5,8H,6H2,1-3H3
NEC7KET1-1A InChI=1S/C7H14O3/c1-3-4-7(2,5-8)6-10-9/h5,9H,3-4,6H2,1-2H3
NEC7KET1-3 InChI=1S/C7H14O3/c1-4-6(10-9)7(2,3)5-8/h5-6,9H,4H2,1-3H3
NEC7KET1-4 InChI=1S/C7H14O3/c1-6(10-9)4-7(2,3)5-8/h5-6,9H,4H2,1-3H3
NEC7KET1-5 InChI=1S/C7H14O3/c1-7(2,6-8)4-3-5-10-9/h6,9H,3-5H2,1-2H3
NEC7KET3-1 InChI=1S/C7H14O3/c1-4-6(8)7(2,3)5-10-9/h9H,4-5H2,1-3H3
NEC7KET3-4 InChI=1S/C7H14O3/c1-5(10-9)6(8)7(2,3)4/h5,9H,1-4H3
NEC7KET3-5 InChI=1S/C7H14O3/c1-7(2,3)6(8)4-5-10-9/h9H,4-5H2,1-3H3
NEC7KET4-1 InChI=1S/C7H14O3/c1-6(8)4-7(2,3)5-10-9/h9H,4-5H2,1-3H3
NEC7KET4-3 InChI=1S/C7H14O3/c1-5(8)6(10-9)7(2,3)4/h6,9H,1-4H3
NEC7KET4-5 InChI=1S/C7H14O3/c1-7(2,3)4-6(8)5-10-9/h9H,4-5H2,1-3H3
NEC7KET5-1 InChI=1S/C7H14O3/c1-7(2,6-10-9)4-3-5-8/h5,9H,3-4,6H2,1-2H3
NEC7KET5-3 InChI=1S/C7H14O3/c1-7(2,3)6(10-9)4-5-8/h5-6,9H,4H2,1-3H3
NEC7KET5-4 InChI=1S/C7H14O3/c1-7(2,3)4-6(5-8)10-9/h5-6,9H,4H2,1-3H3
DMP33 InChI=1S/C7H16/c1-5-7(3,4)6-2/h5-6H2,1-4H3
DMP33-1 InChI=1S/C7H15/c1-5-7(3,4)6-2/h1,5-6H2,2-4H3
DMP33-2 InChI=1S/C7H15/c1-5-7(3,4)6-2/h5H,6H2,1-4H3
DMP33-6 InChI=1S/C7H15/c1-5-7(3,4)6-2/h3,5-6H2,1-2,4H3
DMP33-1O2 InChI=1S/C7H15O2/c1-4-7(2,3)5-6-9-8/h4-6H2,1-3H3
DMP33-2O2 InChI=1S/C7H15O2/c1-5-7(3,4)6(2)9-8/h6H,5H2,1-4H3
DMP33-6O2 InChI=1S/C7H15O2/c1-4-7(3,5-2)6-9-8/h4-6H2,1-3H3
DMP33OOH1-2 InChI=1S/C7H15O2/c1-4-7(2,3)5-6-9-8/h5,8H,4,6H2,1-3H3
DMP33OOH1-2O2 InChI=1S/C7H15O4/c1-4-7(2,3)6(11-9)5-10-8/h6,8H,4-5H2,1-3H3
DMP33OOH1-4 InChI=1S/C7H15O2/c1-4-7(2,3)5-6-9-8/h4,8H,5-6H2,1-3H3
DMP33OOH1-4O2 InChI=1S/C7H15O4/c1-6(11-9)7(2,3)4-5-10-8/h6,8H,4-5H2,1-3H3
DMP33OOH1-5 InChI=1S/C7H15O2/c1-4-7(2,3)5-6-9-8/h8H,1,4-6H2,2-3H3
DMP33OOH1-5O2 InChI=1S/C7H15O4/c1-7(2,3-5-10-8)4-6-11-9/h8H,3-6H2,1-2H3
DMP33OOH1-6 InChI=1S/C7H15O2/c1-4-7(2,3)5-6-9-8/h8H,2,4-6H2,1,3H3
DMP33OOH1-6O2 InChI=1S/C7H15O4/c1-3-7(2,6-11-9)4-5-10-8/h8H,3-6H2,1-2H3
DMP33OOH2-1 InChI=1S/C7H15O2/c1-5-7(3,4)6(2)9-8/h6,8H,2,5H2,1,3-4H3
DMP33OOH2-1O2 InChI=1S/C7H15O4/c1-4-7(2,3)6(11-9)5-10-8/h6,9H,4-5H2,1-3H3
DMP33OOH2-4 InChI=1S/C7H15O2/c1-5-7(3,4)6(2)9-8/h5-6,8H,1-4H3
DMP33OOH2-4O2 InChI=1S/C7H15O4/c1-5(10-8)7(3,4)6(2)11-9/h5-6,8H,1-4H3
DMP33OOH2-5 InChI=1S/C7H15O2/c1-5-7(3,4)6(2)9-8/h6,8H,1,5H2,2-4H3
DMP33OOH2-5O2 InChI=1S/C7H15O4/c1-6(11-9)7(2,3)4-5-10-8/h6,9H,4-5H2,1-3H3
DMP33OOH2-6 InChI=1S/C7H15O2/c1-5-7(3,4)6(2)9-8/h6,8H,3,5H2,1-2,4H3
DMP33OOH2-6O2 InChI=1S/C7H15O4/c1-4-7(3,5-10-8)6(2)11-9/h6,9H,4-5H2,1-3H3
DMP33OOH6-1 InChI=1S/C7H15O2/c1-4-7(3,5-2)6-9-8/h8H,1,4-6H2,2-3H3
DMP33OOH6-1O2 InChI=1S/C7H15O4/c1-3-7(2,6-11-9)4-5-10-8/h9H,3-6H2,1-2H3
DMP33OOH6-2 InChI=1S/C7H15O2/c1-4-7(3,5-2)6-9-8/h4,8H,5-6H2,1-3H3
DMP33OOH6-2O2 InChI=1S/C7H15O4/c1-4-7(3,5-10-8)6(2)11-9/h6,8H,4-5H2,1-3H3
I33C7OOH6-7 InChI=1S/C7H15O2/c1-4-7(3,5-2)6-9-8/h8H,3-6H2,1-2H3
I33C7OOH6-7O2 InChI=1S/C7H15O4/c1-3-7(4-2,5-10-8)6-11-9/h8H,3-6H2,1-2H3
I33C7Q12-6 InChI=1S/C7H15O4/c1-4-7(2,3)6(11-9)5-10-8/h6,8-9H,2,4-5H2,1,3H3
I33C7Q14-2 InChI=1S/C7H15O4/c1-6(11-9)7(2,3)4-5-10-8/h4,6,8-9H,5H2,1-3H3
I33C7Q14-6 InChI=1S/C7H15O4/c1-6(11-9)7(2,3)4-5-10-8/h6,8-9H,2,4-5H2,1,3H3
I33C7Q15-2 InChI=1S/C7H15O4/c1-7(2,3-5-10-8)4-6-11-9/h3,8-9H,4-6H2,1-2H3
I33C7Q15-6 InChI=1S/C7H15O4/c1-7(2,3-5-10-8)4-6-11-9/h8-9H,1,3-6H2,2H3
I33C7Q16-2 InChI=1S/C7H15O4/c1-3-7(2,6-11-9)4-5-10-8/h4,8-9H,3,5-6H2,1-2H3
I33C7Q16-7 InChI=1S/C7H15O4/c1-3-7(2,6-11-9)4-5-10-8/h8-9H,2-6H2,1H3
I33C7Q24-1 InChI=1S/C7H15O4/c1-5(10-8)7(3,4)6(2)11-9/h5-6,8-9H,1H2,2-4H3
I33C7Q24-6 InChI=1S/C7H15O4/c1-5(10-8)7(3,4)6(2)11-9/h5-6,8-9H,3H2,1-2,4H3
I33C7Q25-1 InChI=1S/C7H15O4/c1-6(11-9)7(2,3)4-5-10-8/h6,8-9H,1,4-5H2,2-3H3
I33C7Q26-1 InChI=1S/C7H15O4/c1-4-7(3,5-10-8)6(2)11-9/h6,8-9H,2,4-5H2,1,3H3
I33C7Q26-7 InChI=1S/C7H15O4/c1-4-7(3,5-10-8)6(2)11-9/h6,8-9H,3-5H2,1-2H3
I33C7Q45-1 InChI=1S/C7H15O4/c1-4-7(2,3)6(11-9)5-10-8/h6,8-9H,1,4-5H2,2-3H3
I33C7Q45-2 InChI=1S/C7H15O4/c1-4-7(2,3)6(11-9)5-10-8/h4,6,8-9H,5H2,1-3H3
I33C7Q47-1 InChI=1S/C7H15O4/c1-4-7(3,5-10-8)6(2)11-9/h6,8-9H,1,4-5H2,2-3H3
I33C7Q47-2 InChI=1S/C7H15O4/c1-4-7(3,5-10-8)6(2)11-9/h4,6,8-9H,5H2,1-3H3
I33C7Q57-1 InChI=1S/C7H15O4/c1-3-7(2,6-11-9)4-5-10-8/h8-9H,1,3-6H2,2H3
I33C7Q57-2 InChI=1S/C7H15O4/c1-3-7(2,6-11-9)4-5-10-8/h3,8-9H,4-6H2,1-2H3
I33C7Q67-1 InChI=1S/C7H15O4/c1-3-7(4-2,5-10-8)6-11-9/h8-9H,1,3-6H2,2H3
I33C7Q67-2 InChI=1S/C7H15O4/c1-3-7(4-2,5-10-8)6-11-9/h3,8-9H,4-6H2,1-2H3
I33C7D1 InChI=1S/C7H14/c1-5-7(3,4)6-2/h5H,1,6H2,2-4H3
I33C7O1-2 InChI=1S/C7H14O/c1-4-7(2,3)6-5-8-6/h6H,4-5H2,1-3H3
I33C7O1-4 InChI=1S/C7H14O/c1-6-7(2,3)4-5-8-6/h6H,4-5H2,1-3H3
I33C7O1-5 InChI=1S/C7H14O/c1-7(2)3-5-8-6-4-7/h3-6H2,1-2H3
I33C7O1-6 InChI=1S/C7H14O/c1-3-7(2)4-5-8-6-7/h3-6H2,1-2H3
I33C7O2-4 InChI=1S/C7H14O/c1-5-7(3,4)6(2)8-5/h5-6H,1-4H3
I33C7O2-6 InChI=1S/C7H14O/c1-4-7(3)5-8-6(7)2/h6H,4-5H2,1-3H3
I33C7O6-7 InChI=1S/C7H14O/c1-3-7(4-2)5-8-6-7/h3-6H2,1-2H3
I33C7O26-1OOH InChI=1S/C7H14O3/c1-3-7(2)5-9-6(7)4-10-8/h6,8H,3-5H2,1-2H3
I33C7O24-1OOH InChI=1S/C7H14O3/c1-5-7(2,3)6(10-5)4-9-8/h5-6,8H,4H2,1-3H3
I33C7O25-1OOH InChI=1S/C7H14O3/c1-7(2)3-4-9-6(7)5-10-8/h6,8H,3-5H2,1-2H3
I33C7O67-1OOH InChI=1S/C7H14O3/c1-2-7(3-4-10-8)5-9-6-7/h8H,2-6H2,1H3
I33C7O46-1OOH InChI=1S/C7H14O3/c1-6-7(2,5-9-6)3-4-10-8/h6,8H,3-5H2,1-2H3
I33C7O56-1OOH InChI=1S/C7H14O3/c1-7(3-5-10-8)2-4-9-6-7/h8H,2-6H2,1H3
I33C7O12-5OOH InChI=1S/C7H14O3/c1-7(2,3-4-10-8)6-5-9-6/h6,8H,3-5H2,1-2H3
I33C7O16-2OOH InChI=1S/C7H14O3/c1-3-7(2)5-9-4-6(7)10-8/h6,8H,3-5H2,1-2H3
I33C7O14-2OOH InChI=1S/C7H14O3/c1-5-7(2,3)6(10-8)4-9-5/h5-6,8H,4H2,1-3H3
I33C7O15-2OOH InChI=1S/C7H14O3/c1-7(2)3-4-9-5-6(7)10-8/h6,8H,3-5H2,1-2H3
I33C7O67-2OOH InChI=1S/C7H14O3/c1-3-7(4-9-5-7)6(2)10-8/h6,8H,3-5H2,1-2H3
I33C7O46-2OOH InChI=1S/C7H14O3/c1-5-7(3,4-9-5)6(2)10-8/h5-6,8H,4H2,1-3H3
I33C7O56-2OOH InChI=1S/C7H14O3/c1-6(10-8)7(2)3-4-9-5-7/h6,8H,3-5H2,1-2H3
I33C7O12-4OOH InChI=1S/C7H14O3/c1-5(10-8)7(2,3)6-4-9-6/h5-6,8H,4H2,1-3H3
I33C7O12-6OOH InChI=1S/C7H14O3/c1-3-7(2,5-10-8)6-4-9-6/h6,8H,3-5H2,1-2H3
I33C7O17-6OOH InChI=1S/C7H14O3/c1-2-7(6-10-8)3-4-9-5-7/h8H,2-6H2,1H3
I33C7O14-6OOH InChI=1S/C7H14O3/c1-6-7(2,5-10-8)3-4-9-6/h6,8H,3-5H2,1-2H3
I33C7O15-6OOH InChI=1S/C7H14O3/c1-7(6-10-8)2-4-9-5-3-7/h8H,2-6H2,1H3
I33C7O27-6OOH InChI=1S/C7H14O3/c1-3-7(5-10-8)4-9-6(7)2/h6,8H,3-5H2,1-2H3
I33C7O24-6OOH InChI=1S/C7H14O3/c1-5-7(3,4-9-8)6(2)10-5/h5-6,8H,4H2,1-3H3
I33C7D1-5OOH InChI=1S/C7H14O2/c1-4-7(2,3)5-6-9-8/h4,8H,1,5-6H2,2-3H3
I33C7D1-4OOH InChI=1S/C7H14O2/c1-5-7(3,4)6(2)9-8/h5-6,8H,1H2,2-4H3
I33C7D1-6OOH InChI=1S/C7H14O2/c1-4-7(3,5-2)6-9-8/h4,8H,1,5-6H2,2-3H3
I33C7KET1-2 InChI=1S/C7H14O3/c1-4-7(2,3)6(5-8)10-9/h5-6,9H,4H2,1-3H3
I33C7KET1-6 InChI=1S/C7H14O3/c1-3-7(2,4-5-8)6-10-9/h5,9H,3-4,6H2,1-2H3
I33C7KET1-4 InChI=1S/C7H14O3/c1-6(10-9)7(2,3)4-5-8/h5-6,9H,4H2,1-3H3
I33C7KET1-5 InChI=1S/C7H14O3/c1-7(2,3-5-8)4-6-10-9/h5,9H,3-4,6H2,1-2H3
I33C7KET2-1 InChI=1S/C7H14O3/c1-4-7(2,3)6(8)5-10-9/h9H,4-5H2,1-3H3
I33C7KET2-6 InChI=1S/C7H14O3/c1-4-7(3,5-10-9)6(2)8/h9H,4-5H2,1-3H3
I33C7KET2-4 InChI=1S/C7H14O3/c1-5(8)7(3,4)6(2)10-9/h6,9H,1-4H3
I33C7KET2-5 InChI=1S/C7H14O3/c1-6(8)7(2,3)4-5-10-9/h9H,4-5H2,1-3H3
I33C7KET6-1 InChI=1S/C7H14O3/c1-3-7(2,6-8)4-5-10-9/h6,9H,3-5H2,1-2H3
I33C7KET6-2 InChI=1S/C7H14O3/c1-4-7(3,5-8)6(2)10-9/h5-6,9H,4H2,1-3H3
I33C7KET6-7 InChI=1S/C7H14O3/c1-3-7(4-2,5-8)6-10-9/h5,9H,3-4,6H2,1-2H3
NC8 InChI=1S/C8H18/c1-3-5-7-8-6-4-2/h3-8H2,1-2H3
CH3 InChI=1S/CH3/h1H3
C7H15-1 InChI=1S/C7H15/c1-3-5-7-6-4-2/h1,3-7H2,2H3
C2H5 InChI=1S/C2H5/c1-2/h1H2,2H3
C6H13-1 InChI=1S/C6H13/c1-3-5-6-4-2/h1,3-6H2,2H3
NC3H7 InChI=1S/C3H7/c1-3-2/h1,3H2,2H3
C5H11-1 InChI=1S/C5H11/c1-3-5-4-2/h1,3-5H2,2H3
PC4H9 InChI=1S/C4H9/c1-3-4-2/h1,3-4H2,2H3
NC8-1 InChI=1S/C8H17/c1-3-5-7-8-6-4-2/h1,3-8H2,2H3
NC8-2 InChI=1S/C8H17/c1-3-5-7-8-6-4-2/h3H,4-8H2,1-2H3
NC8-3 InChI=1S/C8H17/c1-3-5-7-8-6-4-2/h5H,3-4,6-8H2,1-2H3
NC8-4 InChI=1S/C8H17/c1-3-5-7-8-6-4-2/h7H,3-6,8H2,1-2H3
CH4 InChI=1S/CH4/h1H4
C2H6 InChI=1S/C2H6/c1-2/h1-2H3
CH3O2 InChI=1S/CH3O2/c1-3-2/h1H3
CH3O2H InChI=1S/CH4O2/c1-3-2/h2H,1H3
NC8-1O2 InChI=1S/C8H17O2/c1-2-3-4-5-6-7-8-10-9/h2-8H2,1H3
NC8-2O2 InChI=1S/C8H17O2/c1-3-4-5-6-7-8(2)10-9/h8H,3-7H2,1-2H3
NC8-3O2 InChI=1S/C8H17O2/c1-3-5-6-7-8(4-2)10-9/h8H,3-7H2,1-2H3
NC8-4O2 InChI=1S/C8H17O2/c1-3-5-7-8(10-9)6-4-2/h8H,3-7H2,1-2H3
NC8OOH1-2 InChI=1S/C8H17O2/c1-2-3-4-5-6-7-8-10-9/h7,9H,2-6,8H2,1H3
NC8OOH1-2O2 InChI=1S/C8H17O4/c1-2-3-4-5-6-8(12-10)7-11-9/h8-9H,2-7H2,1H3
NC8OOH1-3 InChI=1S/C8H17O2/c1-2-3-4-5-6-7-8-10-9/h6,9H,2-5,7-8H2,1H3
NC8OOH1-3O2 InChI=1S/C8H17O4/c1-2-3-4-5-8(12-10)6-7-11-9/h8-9H,2-7H2,1H3
NC8OOH1-4 InChI=1S/C8H17O2/c1-2-3-4-5-6-7-8-10-9/h5,9H,2-4,6-8H2,1H3
NC8OOH1-4O2 InChI=1S/C8H17O4/c1-2-3-5-8(12-10)6-4-7-11-9/h8-9H,2-7H2,1H3
NC8OOH8-4 InChI=1S/C8H17O2/c1-2-3-4-5-6-7-8-10-9/h4,9H,2-3,5-8H2,1H3
NC8OOH1-5O2 InChI=1S/C8H17O4/c1-2-5-8(12-10)6-3-4-7-11-9/h8-9H,2-7H2,1H3
NC8OOH2-1 InChI=1S/C8H17O2/c1-3-4-5-6-7-8(2)10-9/h8-9H,2-7H2,1H3
NC8OOH2-1O2 InChI=1S/C8H17O4/c1-2-3-4-5-6-8(12-10)7-11-9/h8,10H,2-7H2,1H3
NC8OOH2-3 InChI=1S/C8H17O2/c1-3-4-5-6-7-8(2)10-9/h7-9H,3-6H2,1-2H3
NC8OOH2-3O2 InChI=1S/C8H17O4/c1-3-4-5-6-8(12-10)7(2)11-9/h7-9H,3-6H2,1-2H3
NC8OOH2-4 InChI=1S/C8H17O2/c1-3-4-5-6-7-8(2)10-9/h6,8-9H,3-5,7H2,1-2H3
NC8OOH2-4O2 InChI=1S/C8H17O4/c1-3-4-5-8(12-10)6-7(2)11-9/h7-9H,3-6H2,1-2H3
NC8OOH7-4 InChI=1S/C8H17O2/c1-3-4-5-6-7-8(2)10-9/h5,8-9H,3-4,6-7H2,1-2H3
NC8OOH2-5O2 InChI=1S/C8H17O4/c1-3-4-8(12-10)6-5-7(2)11-9/h7-9H,3-6H2,1-2H3
NC8OOH7-3 InChI=1S/C8H17O2/c1-3-4-5-6-7-8(2)10-9/h4,8-9H,3,5-7H2,1-2H3
NC8OOH2-6O2 InChI=1S/C8H17O4/c1-3-8(12-10)6-4-5-7(2)11-9/h7-9H,3-6H2,1-2H3
NC8OOH3-1 InChI=1S/C8H17O2/c1-3-5-6-7-8(4-2)10-9/h8-9H,2-7H2,1H3
NC8OOH3-1O2 InChI=1S/C8H17O4/c1-2-3-4-5-8(12-10)6-7-11-9/h8,10H,2-7H2,1H3
NC8OOH3-2 InChI=1S/C8H17O2/c1-3-5-6-7-8(4-2)10-9/h4,8-9H,3,5-7H2,1-2H3
NC8OOH3-2O2 InChI=1S/C8H17O4/c1-3-4-5-6-8(12-10)7(2)11-9/h7-8,10H,3-6H2,1-2H3
NC8OOH3-4 InChI=1S/C8H17O2/c1-3-5-6-7-8(4-2)10-9/h7-9H,3-6H2,1-2H3
NC8OOH3-4O2 InChI=1S/C8H17O4/c1-3-5-6-8(12-10)7(4-2)11-9/h7-9H,3-6H2,1-2H3
